"classe", "MaxQ", "MinBER", "Attenuation" 
2, 7.917484, 0.0, 9.3240
2, 7.666561, 0.0, 9.38037
2, 7.423415, 0.0, 9.43675
2, 7.187817, 0.0, 9.49312
2, 6.959542, 0.0, 9.54949
2, 6.738372, 0.0, 9.60587
2, 6.524095, 0.0, 9.66224
2, 6.316503, 0.0, 9.71862
2, 6.115395, 0.0, 9.77499
2, 5.920575, 0.0, 9.83136
2, 5.731853, 0.0, 9.88774
2, 5.549045, 0.0, 9.94411
2, 5.371969, 0.0, 10.0005
2, 5.200452, 0.0, 10.0569
2, 5.034322, 0.0, 10.1132
2, 4.873417, 1e-06, 10.1696
2, 4.717574, 1e-06, 10226.0
2, 4.566638, 2e-06, 10.2824
2, 4.420459, 5e-06, 10.3387
2, 4.278888, 9e-06, 10.3951
2, 4.141785, 1.7e-05, 10.4515
2, 4.009011, 3e-05, 10.5078
2, 3.880431, 5.2e-05, 10.5642
2, 3.755915, 8.6e-05, 10.6206
2, 3.635337, 0.000139, 10677.0
2, 3.518574, 0.000217, 10.7333
2, 3.405508, 0.00033, 10.7897
2, 3.296023, 0.00049, 10.8461
2, 3.190007, 0.000711, 10.9025
2, 3.087352, 0.001009, 10.9588
2, 2.987952, 0.001403, 11.0152
2, 2.891706, 0.001914, 11.0716
2, 2.798515, 0.002565, 11128.0
2, 2.708282, 0.003378, 11.1843
2, 2.620916, 0.004381, 11.2407
2, 2.536325, 0.005596, 11.2971
2, 2.454422, 0.007049, 11.3535
2, 2.375123, 0.008763, 11.4098
2, 2.293572, 0.010892, 11.4662
2, 2.205531, 0.013682, 11.5226
2, 2.111262, 0.017335, 11.5789
2, 2.042479, 0.020504, 11.6353
2, 1.94587, 0.025767, 11.6917
2, 0.0, 1.0, 11.7481
2, 0.0, 1.0, 11.8044
2, 0.0, 1.0, 11.8608
2, 0.0, 1.0, 11.9172
2, 0.0, 1.0, 11.9736
2, 0.0, 1.0, 12.0299
2, 0.0, 1.0, 12.0863
2, 0.0, 1.0, 12.1427
2, 0.0, 1.0, 12.1991
2, 0.0, 1.0, 12.2554
2, 0.0, 1.0, 12.3118
2, 0.0, 1.0, 12.3682
2, 0.0, 1.0, 12.4246
2, 0.0, 1.0, 12.4809
2, 0.0, 1.0, 12.5373
2, 0.0, 1.0, 12.5937
2, 0.0, 1.0, 12.6501
2, 0.0, 1.0, 12.7064
2, 0.0, 1.0, 12.7628
2, 0.0, 1.0, 12.8192
2, 0.0, 1.0, 12.8755
2, 0.0, 1.0, 12.9319
2, 0.0, 1.0, 12.9883
2, 0.0, 1.0, 13.0447
2, 0.0, 1.0, 13101.0
2, 0.0, 1.0, 13.1574
2, 0.0, 1.0, 13.2138
2, 0.0, 1.0, 13.2702
2, 0.0, 1.0, 13.3265
2, 0.0, 1.0, 13.3829
2, 0.0, 1.0, 13.4393
2, 0.0, 1.0, 13.4957
2, 0.0, 1.0, 13552.0
2, 0.0, 1.0, 13.6084
2, 0.0, 1.0, 13.6648
2, 0.0, 1.0, 13.7212
2, 0.0, 1.0, 13.7775
2, 0.0, 1.0, 13.8339
2, 0.0, 1.0, 13.8903
2, 0.0, 1.0, 13.9466
2, 0.0, 1.0, 14003.0
2, 0.0, 1.0, 14.0594
2, 0.0, 1.0, 14.1158
2, 0.0, 1.0, 14.1721
2, 0.0, 1.0, 14.2285
2, 0.0, 1.0, 14.2849
2, 0.0, 1.0, 14.3413
2, 0.0, 1.0, 14.3976
2, 0.0, 1.0, 14454.0
2, 0.0, 1.0, 14.5104
2, 0.0, 1.0, 14.5668
2, 0.0, 1.0, 14.6231
2, 0.0, 1.0, 14.6795
2, 0.0, 1.0, 14.7359
2, 0.0, 1.0, 14.7923
2, 0.0, 1.0, 14.8486
2, 0.0, 1.0, 14905.0
0, 470.90645, 0.0, 1257.0
0, 467.029961, 0.0, 1.27736
0, 463.178979, 0.0, 1.29773
0, 459.353394, 0.0, 1.31809
0, 455.553097, 0.0, 1.33845
0, 451.77798, 0.0, 1.35882
0, 448.027933, 0.0, 1.37918
0, 444.302847, 0.0, 1.39955
0, 440.602613, 0.0, 1.41991
0, 436.927123, 0.0, 1.44027
0, 433.276266, 0.0, 1.46064
0, 429.649934, 0.0, 1481.0
0, 426.048018, 0.0, 1.50136
0, 422.470409, 0.0, 1.52173
0, 418.916997, 0.0, 1.54209
0, 415.387675, 0.0, 1.56245
0, 411.882333, 0.0, 1.58282
0, 408.400862, 0.0, 1.60318
0, 404.943153, 0.0, 1.62355
0, 401.509099, 0.0, 1.64391
0, 398.09859, 0.0, 1.66427
0, 394.711518, 0.0, 1.68464
0, 391.347775, 0.0, 1705.0
0, 388.007251, 0.0, 1.72536
0, 384.68984, 0.0, 1.74573
0, 381.395433, 0.0, 1.76609
0, 378.123922, 0.0, 1.78645
0, 374.875199, 0.0, 1.80682
0, 371.649157, 0.0, 1.82718
0, 368.445688, 0.0, 1.84755
0, 365.264684, 0.0, 1.86791
0, 362.106038, 0.0, 1.88827
0, 358.969643, 0.0, 1.90864
0, 355.855392, 0.0, 1929.0
0, 352.763178, 0.0, 1.94936
0, 349.692894, 0.0, 1.96973
0, 346.644433, 0.0, 1.99009
0, 343.61769, 0.0, 2.01045
0, 340.612558, 0.0, 2.03082
0, 337.628931, 0.0, 2.05118
0, 334.666702, 0.0, 2.07155
0, 331.725767, 0.0, 2.09191
0, 328.806019, 0.0, 2.11227
0, 325.907354, 0.0, 2.13264
0, 323.029665, 0.0, 2153.0
0, 320.172847, 0.0, 2.17336
0, 317.336797, 0.0, 2.19373
0, 314.521409, 0.0, 2.21409
0, 311.726579, 0.0, 2.23445
0, 308.952202, 0.0, 2.25482
0, 306.198174, 0.0, 2.27518
0, 303.464392, 0.0, 2.29555
0, 300.750751, 0.0, 2.31591
0, 298.057148, 0.0, 2.33627
0, 295.38348, 0.0, 2.35664
0, 292.729644, 0.0, 2377.0
0, 290.095536, 0.0, 2.39736
0, 287.481055, 0.0, 2.41773
0, 284.886096, 0.0, 2.43809
0, 282.310559, 0.0, 2.45845
0, 279.754341, 0.0, 2.47882
0, 277.21734, 0.0, 2.49918
0, 274.699454, 0.0, 2.51955
0, 272.200582, 0.0, 2.53991
0, 269.720623, 0.0, 2.56027
0, 267.259475, 0.0, 2.58064
0, 264.817039, 0.0, 2601.0
0, 262.393212, 0.0, 2.62136
0, 259.987895, 0.0, 2.64173
0, 257.600988, 0.0, 2.66209
0, 255.232391, 0.0, 2.68245
0, 252.882003, 0.0, 2.70282
0, 250.549726, 0.0, 2.72318
0, 248.235461, 0.0, 2.74355
0, 245.939107, 0.0, 2.76391
0, 243.660566, 0.0, 2.78427
0, 241.39974, 0.0, 2.80464
0, 239.156531, 0.0, 2825.0
0, 236.930839, 0.0, 2.84536
0, 234.722568, 0.0, 2.86573
0, 232.531618, 0.0, 2.88609
0, 230.357894, 0.0, 2.90645
0, 228.201298, 0.0, 2.92682
0, 226.061732, 0.0, 2.94718
0, 223.9391, 0.0, 2.96755
0, 221.833305, 0.0, 2.98791
0, 219.744251, 0.0, 3.00827
0, 217.671842, 0.0, 3.02864
0, 215.615982, 0.0, 3049.0
0, 213.576576, 0.0, 3.06936
0, 211.553527, 0.0, 3.08973
0, 209.546741, 0.0, 3.11009
0, 207.556123, 0.0, 3.13045
0, 205.581578, 0.0, 3.15082
0, 203.623012, 0.0, 3.17118
0, 201.68033, 0.0, 3.19155
0, 199.753439, 0.0, 3.21191
0, 197.842244, 0.0, 3.23227
0, 195.946653, 0.0, 3.25264
0, 194.066571, 0.0, 3273.0
1, 190.237489, 0.0, 3315.0
1, 184.742353, 0.0, 3.37656
1, 179.383801, 0.0, 3.43811
1, 174.15931, 0.0, 3.49967
1, 169.066379, 0.0, 3.56122
1, 164.102528, 0.0, 3.62278
1, 159.265298, 0.0, 3.68433
1, 154.552249, 0.0, 3.74589
1, 149.960964, 0.0, 3.80744
1, 145.489049, 0.0, 3869.0
1, 141.13413, 0.0, 3.93056
1, 136.893856, 0.0, 3.99211
1, 132.7659, 0.0, 4.05367
1, 128.747954, 0.0, 4.11522
1, 124.837737, 0.0, 4.17678
