"classe", "MaxQ", "MinBER", "Attenuation" 
2, 33.552358, 0.0, 9.3240
2, 32.79084, 0.0, 9.38037
2, 32.042882, 0.0, 9.43675
2, 31.308471, 0.0, 9.49312
2, 30.587581, 0.0, 9.54949
2, 29.880166, 0.0, 9.60587
2, 29.186168, 0.0, 9.66224
2, 28.505516, 0.0, 9.71862
2, 27.838127, 0.0, 9.77499
2, 27.183904, 0.0, 9.83136
2, 26.542742, 0.0, 9.88774
2, 25.914525, 0.0, 9.94411
2, 25.299128, 0.0, 10.0005
2, 24.696419, 0.0, 10.0569
2, 24.106256, 0.0, 10.1132
2, 23.528493, 0.0, 10.1696
2, 22.962976, 0.0, 10226.0
2, 22.409547, 0.0, 10.2824
2, 21.868042, 0.0, 10.3387
2, 21.338293, 0.0, 10.3951
2, 20.820128, 0.0, 10.4515
2, 20.313373, 0.0, 10.5078
2, 19.817851, 0.0, 10.5642
2, 19.333382, 0.0, 10.6206
2, 18.859783, 0.0, 10677.0
2, 18.396874, 0.0, 10.7333
2, 17.944468, 0.0, 10.7897
2, 17.502383, 0.0, 10.8461
2, 17.070432, 0.0, 10.9025
2, 16.64843, 0.0, 10.9588
2, 16.236194, 0.0, 11.0152
2, 15.833538, 0.0, 11.0716
2, 15.440278, 0.0, 11128.0
2, 15.056232, 0.0, 11.1843
2, 14.681218, 0.0, 11.2407
2, 14.315056, 0.0, 11.2971
2, 13.957567, 0.0, 11.3535
2, 13.608573, 0.0, 11.4098
2, 13.267899, 0.0, 11.4662
2, 12.935371, 0.0, 11.5226
2, 12.610818, 0.0, 11.5789
2, 12.29407, 0.0, 11.6353
2, 11.984959, 0.0, 11.6917
2, 11.68332, 0.0, 11.7481
2, 11.388991, 0.0, 11.8044
2, 11.101811, 0.0, 11.8608
2, 10.821622, 0.0, 11.9172
2, 10.548268, 0.0, 11.9736
2, 10.281597, 0.0, 12.0299
2, 10.021457, 0.0, 12.0863
2, 9.767701, 0.0, 12.1427
2, 9.520184, 0.0, 12.1991
2, 9.278762, 0.0, 12.2554
2, 9.043295, 0.0, 12.3118
2, 8.813646, 0.0, 12.3682
2, 8.589679, 0.0, 12.4246
2, 8.371262, 0.0, 12.4809
2, 8.158265, 0.0, 12.5373
2, 7.950781, 0.0, 12.5937
2, 7.748585, 0.0, 12.6501
2, 7.551416, 0.0, 12.7064
2, 7.359156, 0.0, 12.7628
2, 7.171686, 0.0, 12.8192
2, 6.988894, 0.0, 12.8755
2, 6.810666, 0.0, 12.9319
2, 6.636894, 0.0, 12.9883
2, 6.467471, 0.0, 13.0447
2, 6.302291, 0.0, 13101.0
2, 6.141251, 0.0, 13.1574
2, 5.984253, 0.0, 13.2138
2, 5.831197, 0.0, 13.2702
2, 5.681987, 0.0, 13.3265
2, 5.53653, 0.0, 13.3829
2, 5.394735, 0.0, 13.4393
2, 5.256511, 0.0, 13.4957
2, 5.121771, 0.0, 13552.0
2, 4.990429, 0.0, 13.6084
2, 4.862402, 1e-06, 13.6648
2, 4.737609, 1e-06, 13.7212
2, 4.615968, 2e-06, 13.7775
2, 4.497404, 3e-06, 13.8339
2, 4.381838, 6e-06, 13.8903
2, 4.269198, 1e-05, 13.9466
2, 4.15941, 1.6e-05, 14003.0
2, 4.052404, 2.5e-05, 14.0594
2, 3.948111, 3.9e-05, 14.1158
2, 3.846462, 6e-05, 14.1721
2, 3.747392, 8.9e-05, 14.2285
2, 3.650837, 0.000131, 14.2849
2, 3.556734, 0.000188, 14.3413
2, 3.465021, 0.000265, 14.3976
2, 3.375639, 0.000368, 14454.0
2, 3.288529, 0.000503, 14.5104
2, 3.203635, 0.000678, 14.5668
2, 3.1209, 0.000901, 14.6231
2, 3.040271, 0.001181, 14.6795
2, 2.961695, 0.001528, 14.7359
2, 2.885119, 0.001955, 14.7923
2, 2.810494, 0.002471, 14.8486
2, 2.73777, 0.00309, 14905.0
0, 697.40276, 0.0, 1257.0
0, 693.181536, 0.0, 1.27736
0, 688.979891, 0.0, 1.29773
0, 684.797781, 0.0, 1.31809
0, 680.63516, 0.0, 1.33845
0, 676.491982, 0.0, 1.35882
0, 672.3682, 0.0, 1.37918
0, 668.263767, 0.0, 1.39955
0, 664.178638, 0.0, 1.41991
0, 660.112763, 0.0, 1.44027
0, 656.066096, 0.0, 1.46064
0, 652.038588, 0.0, 1481.0
0, 648.030192, 0.0, 1.50136
0, 644.040858, 0.0, 1.52173
0, 640.070537, 0.0, 1.54209
0, 636.119181, 0.0, 1.56245
0, 632.186739, 0.0, 1.58282
0, 628.273162, 0.0, 1.60318
0, 624.3784, 0.0, 1.62355
0, 620.502402, 0.0, 1.64391
0, 616.645118, 0.0, 1.66427
0, 612.806498, 0.0, 1.68464
0, 608.98649, 0.0, 1705.0
0, 605.185042, 0.0, 1.72536
0, 601.402104, 0.0, 1.74573
0, 597.637624, 0.0, 1.76609
0, 593.89155, 0.0, 1.78645
0, 590.163829, 0.0, 1.80682
0, 586.45441, 0.0, 1.82718
0, 582.76324, 0.0, 1.84755
0, 579.090267, 0.0, 1.86791
0, 575.435437, 0.0, 1.88827
0, 571.798697, 0.0, 1.90864
0, 568.179995, 0.0, 1929.0
0, 564.579277, 0.0, 1.94936
0, 560.99649, 0.0, 1.96973
0, 557.431579, 0.0, 1.99009
0, 553.884492, 0.0, 2.01045
0, 550.355175, 0.0, 2.03082
0, 546.843572, 0.0, 2.05118
0, 543.349631, 0.0, 2.07155
0, 539.873297, 0.0, 2.09191
0, 536.414516, 0.0, 2.11227
0, 532.973233, 0.0, 2.13264
0, 529.549393, 0.0, 2153.0
0, 526.142942, 0.0, 2.17336
0, 522.753826, 0.0, 2.19373
0, 519.381988, 0.0, 2.21409
0, 516.027375, 0.0, 2.23445
0, 512.689932, 0.0, 2.25482
0, 509.369602, 0.0, 2.27518
0, 506.066332, 0.0, 2.29555
