"Classe de Chuva", "MaxQ", "MinBER", "Attenuation", "Distancia" 
2, 599.435247, 0.0, 9.3240, 1km
2, 594.242736, 0.0, 9.38037, 1km
2, 589.085399, 0.0, 9.43675, 1km
2, 583.963097, 0.0, 9.49312, 1km
2, 578.875692, 0.0, 9.54949, 1km
2, 573.823042, 0.0, 9.60587, 1km
2, 568.805008, 0.0, 9.66224, 1km
2, 563.821449, 0.0, 9.71862, 1km
2, 558.872221, 0.0, 9.77499, 1km
2, 553.957184, 0.0, 9.83136, 1km
2, 549.076194, 0.0, 9.88774, 1km
2, 544.229108, 0.0, 9.94411, 1km
2, 539.415783, 0.0, 10.0005, 1km
2, 534.636073, 0.0, 10.0569, 1km
2, 529.889835, 0.0, 10.1132, 1km
2, 525.176924, 0.0, 10.1696, 1km
2, 520.497194, 0.0, 10.2260, 1km
2, 515.850499, 0.0, 10.2824, 1km
2, 511.236695, 0.0, 10.3387, 1km
2, 506.655634, 0.0, 10.3951, 1km
2, 502.10717, 0.0, 10.4515, 1km
2, 497.591157, 0.0, 10.5078, 1km
2, 493.107447, 0.0, 10.5642, 1km
2, 488.655894, 0.0, 10.6206, 1km
2, 484.23635, 0.0, 10.6770, 1km
2, 479.848667, 0.0, 10.7333, 1km
2, 475.492699, 0.0, 10.7897, 1km
2, 471.168297, 0.0, 10.8461, 1km
2, 466.875314, 0.0, 10.9025, 1km
2, 462.613602, 0.0, 10.9588, 1km
2, 458.383012, 0.0, 11.0152, 1km
2, 454.183397, 0.0, 11.0716, 1km
2, 450.014608, 0.0, 11.1280, 1km
2, 445.876498, 0.0, 11.1843, 1km
2, 441.768919, 0.0, 11.2407, 1km
2, 437.691721, 0.0, 11.2971, 1km
2, 433.644758, 0.0, 11.3535, 1km
2, 429.627881, 0.0, 11.4098, 1km
2, 425.640941, 0.0, 11.4662, 1km
2, 421.683792, 0.0, 11.5226, 1km
2, 417.756285, 0.0, 11.5789, 1km
2, 413.858272, 0.0, 11.6353, 1km
2, 409.989605, 0.0, 11.6917, 1km
2, 406.150138, 0.0, 11.7481, 1km
2, 402.339721, 0.0, 11.8044, 1km
2, 398.558208, 0.0, 11.8608, 1km
2, 394.805452, 0.0, 11.9172, 1km
2, 391.081305, 0.0, 11.9736, 1km
2, 387.38562, 0.0, 12.0299, 1km
2, 383.718251, 0.0, 12.0863, 1km
2, 380.07905, 0.0, 12.1427, 1km
2, 376.467872, 0.0, 12.1991, 1km
2, 372.884569, 0.0, 12.2554, 1km
2, 369.328996, 0.0, 12.3118, 1km
2, 365.801006, 0.0, 12.3682, 1km
2, 362.300454, 0.0, 12.4246, 1km
2, 358.827195, 0.0, 12.4809, 1km
2, 355.381082, 0.0, 12.5373, 1km
2, 351.961972, 0.0, 12.5937, 1km
2, 348.569718, 0.0, 12.6501, 1km
2, 345.204176, 0.0, 12.7064, 1km
2, 341.865203, 0.0, 12.7628, 1km
2, 338.552653, 0.0, 12.8192, 1km
2, 335.266382, 0.0, 12.8755, 1km
2, 332.006248, 0.0, 12.9319, 1km
2, 328.772106, 0.0, 12.9883, 1km
2, 325.563814, 0.0, 13.0447, 1km
2, 322.381228, 0.0, 13.1010, 1km
2, 319.224206, 0.0, 13.1574, 1km
2, 316.092606, 0.0, 13.2138, 1km
2, 312.986286, 0.0, 13.2702, 1km
2, 309.905103, 0.0, 13.3265, 1km
2, 306.848916, 0.0, 13.3829, 1km
2, 303.817585, 0.0, 13.4393, 1km
2, 300.810968, 0.0, 13.4957, 1km
2, 297.828924, 0.0, 13.5520, 1km
2, 294.871314, 0.0, 13.6084, 1km
2, 291.937997, 0.0, 13.6648, 1km
2, 289.028833, 0.0, 13.7212, 1km
2, 286.143684, 0.0, 13.7775, 1km
2, 283.28241, 0.0, 13.8339, 1km
2, 280.444872, 0.0, 13.8903, 1km
2, 277.630932, 0.0, 13.9466, 1km
2, 274.840452, 0.0, 14.0030, 1km
2, 272.073294, 0.0, 14.0594, 1km
2, 269.329321, 0.0, 14.1158, 1km
2, 266.608394, 0.0, 14.1721, 1km
2, 263.910379, 0.0, 14.2285, 1km
2, 261.235137, 0.0, 14.2849, 1km
2, 258.582533, 0.0, 14.3413, 1km
2, 255.95243, 0.0, 14.3976, 1km
2, 253.344695, 0.0, 14.4540, 1km
2, 250.75919, 0.0, 14.5104, 1km
2, 248.195782, 0.0, 14.5668, 1km
2, 245.654335, 0.0, 14.6231, 1km
2, 243.134716, 0.0, 14.6795, 1km
2, 240.636791, 0.0, 14.7359, 1km
2, 238.160426, 0.0, 14.7923, 1km
2, 235.705488, 0.0, 14.8486, 1km
2, 233.271845, 0.0, 14.9050, 1km
0, 1733.983315, 0.0, 1.2570, 1km
0, 1730.258658, 0.0, 1.27736, 1km
0, 1726.536352, 0.0, 1.29773, 1km
0, 1722.816425, 0.0, 1.31809, 1km
0, 1719.098905, 0.0, 1.33845, 1km
0, 1715.383821, 0.0, 1.35882, 1km
0, 1711.6712, 0.0, 1.37918, 1km
0, 1707.96107, 0.0, 1.39955, 1km
0, 1704.253458, 0.0, 1.41991, 1km
0, 1700.548393, 0.0, 1.44027, 1km
0, 1696.845902, 0.0, 1.46064, 1km
0, 1693.146011, 0.0, 1.4810, 1km
0, 1689.448748, 0.0, 1.50136, 1km
0, 1685.754141, 0.0, 1.52173, 1km
0, 1682.062215, 0.0, 1.54209, 1km
0, 1678.372998, 0.0, 1.56245, 1km
0, 1674.686516, 0.0, 1.58282, 1km
0, 1671.002795, 0.0, 1.60318, 1km
0, 1667.321863, 0.0, 1.62355, 1km
0, 1663.643745, 0.0, 1.64391, 1km
0, 1659.968467, 0.0, 1.66427, 1km
0, 1656.296055, 0.0, 1.68464, 1km
0, 1652.626535, 0.0, 1.7050, 1km
0, 1648.959932, 0.0, 1.72536, 1km
0, 1645.296273, 0.0, 1.74573, 1km
0, 1641.635582, 0.0, 1.76609, 1km
0, 1637.977885, 0.0, 1.78645, 1km
0, 1634.323206, 0.0, 1.80682, 1km
0, 1630.671572, 0.0, 1.82718, 1km
0, 1627.023006, 0.0, 1.84755, 1km
0, 1623.377533, 0.0, 1.86791, 1km
0, 1619.735177, 0.0, 1.88827, 1km
0, 1616.095964, 0.0, 1.90864, 1km
0, 1612.459918, 0.0, 1.9290, 1km
0, 1608.827062, 0.0, 1.94936, 1km
0, 1605.19742, 0.0, 1.96973, 1km
0, 1601.571016, 0.0, 1.99009, 1km
0, 1597.947875, 0.0, 2.01045, 1km
0, 1594.328019, 0.0, 2.03082, 1km
0, 1590.711471, 0.0, 2.05118, 1km
0, 1587.098256, 0.0, 2.07155, 1km
0, 1583.488396, 0.0, 2.09191, 1km
0, 1579.881914, 0.0, 2.11227, 1km
0, 1576.278834, 0.0, 2.13264, 1km
0, 1572.679176, 0.0, 2.1530, 1km
0, 1569.082965, 0.0, 2.17336, 1km
0, 1565.490223, 0.0, 2.19373, 1km
0, 1561.900971, 0.0, 2.21409, 1km
0, 1558.315232, 0.0, 2.23445, 1km
0, 1554.733028, 0.0, 2.25482, 1km
